Date_x,순부채(천원),SG&A,ROGI(%),총자산회전율(비율),무형자산회전율,Free Cash Flow2(천원),비유동자산(천원),운전자본증감(천원),투자비 대비 매출 (Rev/GI),EPS증가율(YoY)(비율),Opex Margin,매출액증가율(YoY)(연도),"BPS(지배, Adj.)(원/주)",EBITDA2마진율(비율),매출총이익(천원),영업이익(천원),무형자산감상비 누계,자기자본비율,ROA(비율),매출원가(천원),ROE(지배)(비율),Gross Investment (GI),비유동비율(천원),매출액(천원),CAPEX(천원),"EPS(지배, Adj.)(원/주)",유동비율(비율),부채총계(천원),이익잉여금(천원),단기투자자산,재고자산회전율(비율),유동자산(천원),영업이익률(비율),채무총계,순이익률(비율),이자보상율,당기순이익(천원),유형자산감상비 누계,EBITDA2(천원),매출액이익률(비율),순이익증가율(YoY)(비율),인당영업이익,매입채무회전율,영업이익증가율(YoY)(연도),EBIT(천원),매출채권회전율,자산총계(천원),인당매출,부채비율(비율),인당순이익,EBITDA2증가율(YoY)(비율),BPS증가율(YoY)(비율),close,close_weighted,EV_EBITDA,PBR
2017-03-01 00:00:00,-459,250,0.135403727,0.75,71.46666667,154.4,774,67.9,-2.663354037,-5.333333333,0.458722015,0.002612043,43.82605617,0.8,312.7,-21.8,-38,19.67741935,-5.07,116.1,-28.08,-161,1.81264637,428.8,33.19,-0.13,1.22,1743,-1038,975,0.307163324,1396,-5.08,516,-5.02,-2422.222222,-21.5,-167,3.43,72.93,-4.891472868,-0.003503697,3.414705882,-2.151927438,-21.8,8.841237113,2170,0.068916747,408.1967213,-0.003455481,-0.923518164,0.01900427,110.9290218,106.255,1266.36,34.74
2017-06-01 00:00:00,-552,273.9,0.175,0.7,74.71666667,240.9,813,109,-2.075462963,1.538461538,0.479812625,0.017413959,45.13614112,-2.45,326.1,-37.8,-43,16.48426813,-5.54,122.1,-31.84,-216,1.686721992,448.3,42.09,-0.33,1.73,2442,-1095,1692,0.212363809,2111,-8.21,1140,-11.97,-190.9090909,-55.8,-189,-11.56,74.2,1.384462151,-0.006075217,5.0875,0.616141732,-37.8,8.790196078,2924,0.072050788,506.6390041,-0.008968177,-4.0625,0.029892832,124.0343217,116.08,2468.2,37.51
2017-09-01 00:00:00,-515,270.3,0.030708661,0.72,82.06666667,336.1,943,90.3,-3.877165354,-0.606060606,0.424451665,-0.001212938,48.25364239,5.18,364.9,-3.9,-48,17.98045603,-3.87,127.5,-20.69,-127,1.711433757,492.4,46.75,-0.13,1.66,2518,-1119,1672,0.231499765,2127,-0.79,1157,-4.51,-24.07407407,-22.2,-212,25.49,74.11,-0.623224728,-0.000626808,6.071428571,-0.903775883,-3.9,10.72766885,3070,0.079138541,456.1594203,-0.003567985,-3.114285714,0.069068848,154.9506143,127.57,332.94,36.81
2017-12-01 00:00:00,-606,311.3,0.06,0.69,91.51666667,485.8,1128,106,-36.60666667,-0.230769231,0.446913131,0.019700445,42.21541752,5.68,414.9,-0.9,-48,21.91549296,-4.19,134.2,-20.05,-15,1.44801027,549.1,35.15,-0.1,1.19,2772,-959,1779,0.22671346,2422,-0.16,1173,-3.16,-7.5,-17.3,-235,31.17,75.57,-0.299334812,-0.000144648,4.19375,-0.797468354,-0.9,-5.507522568,3550,0.088251366,356.2982005,-0.002780456,0.096525097,-0.125135111,189.1912145,181.23,442.86,29.18
2018-06-01 00:00:00,-893,382,0.14159292,0.7,105.1833333,276.8,1121,135.2,-2.792477876,2,0.47710347,0.002117242,35.1889407,0.52,477.9,-35.1,-59,25.68384682,-1.93,153.2,-9,-226,1.256726457,631.1,55.99,-0.3,1.28,2581,-994,1750,0.26832483,2352,-5.07,857,-8.36,-548.4375,-52.7,-284,3.31,75.73,1.64556962,-0.004304636,4.941935484,30.6875,-32,9.576631259,3473,0.077397596,289.3497758,-0.006463086,-0.908450704,-0.166443381,177.036295,195.63,312.52,34.42
2018-09-01 00:00:00,-811,370,-0.24,0.73,112.1833333,371.5,1289,44.9,-16.8275,-1.133333333,0.419402763,0.010827941,38.35409461,7.05,515.2,9.6,-65,28.48366378,-1.54,157.9,-6.5,-40,1.26372549,673.1,50.74,0.04,1.26,2561,-986,1626,0.293673647,2292,1.42,815,1.25,300,8.4,-314,47.47,76.55,-1.149521531,0.001177336,3.672093023,-1.280078895,9.6,89.74666667,3581,0.082548442,251.0784314,0.001030169,12.55769231,0.089947405,218.9209653,180.33,357.94,34.38
2018-12-01 00:00:00,-836,398.3,0.0375,0.7,119.2333333,562.2,1534,140.8,89.425,0,0.438356164,-0.000653168,42.46820325,6.06,547.3,0.3,-72,28.64140242,-0.72,168.2,-2.83,8,1.380738074,715.4,98.91,0.04,1.17,2768,-979,1498,0.305074627,2345,0.04,662,0.98,7.5,7,-339,43.39,76.5,-0.216,3.67918E-05,5.425806452,-0.971830986,0.3,-4.896646133,3879,0.08773608,249.1449145,0.000858474,-0.140425532,0.107266478,262.4147598,241.37,290.06,28.87
2019-03-01 00:00:00,-992,445.9,0.167021277,0.69,131.4833333,313.7,2025,102.5,-8.392553191,-1.25,0.453796425,-0.001437908,41.30059339,5.04,602.7,-15.7,-78,27.16526483,-0.96,186.3,-3.77,-94,1.694560669,788.9,47.12,-0.01,1.13,3204,-980,1662,0.33230834,2374,-1.99,670,-0.2,-373.8095238,-1.5,-375,39.74,76.39,-1.204081633,-0.001513837,4.776923077,-50.75,-15.7,5.221045665,4399,0.076067882,268.1171548,-0.000144634,-0.168316832,-0.027493743,271.0280565,274.565,327.1,38.11
2019-06-01 00:00:00,-975,479.3,0.794117647,0.75,138.9833333,471.4,2161,82.6,-24.52647059,5,0.464923852,-0.001963608,38.7840823,4,635.8,-27,-86,27.39517706,0.07,198.1,0.26,-34,1.71371927,833.9,86.06,-0.06,1.1,3342,-992,1653,0.341482391,2442,-3.24,678,-1.33,-355.2631579,-11.1,-406,33.33,76.24,5.65,-0.002603413,3.001515152,0.628140704,-27,11.67927171,4603,0.080406904,265.0277557,-0.001070292,-0.206349206,-0.060931596,261.95355,260.265,304.84,40.82
2019-09-01 00:00:00,-785,438.6,0.180448718,0.77,147.6333333,591.5,2460,-24.7,2.839102564,-4.5,0.402009483,0.014296957,40.52150458,13.58,685,56.3,-94,30.06096279,0.84,200.8,2.86,312,1.721483555,885.8,90.07,0.21,1.05,3327,-951,1471,0.385633435,2297,6.36,687,4.58,1340.47619,40.6,-428,120.33,77.33,-4.443609023,0.005428599,3.238709677,-2.962962963,56.3,31.30035336,4757,0.085411243,232.6573427,0.003914762,2.395,0.044797303,308.058222,277.45,198.89,33.49
2019-12-01 00:00:00,-996,509.5,0.036538462,0.7,158.6333333,898.4,3195,78.4,1.22025641,13.33333333,0.441374238,0.005819216,30.73866338,10.6,740.3,28.5,-105,35.33709731,12.66,211.5,38.7,780,1.501409774,951.8,114.33,3.01,1.03,3894,-352,1691,0.336681995,2827,3,695,62.91,518.1818182,598.7,-457,100.84,77.78,12.73580786,0.002748047,3.990566038,-0.528301887,28.5,-3.663587375,6022,0.091775142,182.9887218,0.057728281,-0.219440353,-0.241423444,346.4612059,287,177.58,25.14
2020-03-01 00:00:00,-1157,538.6,0.078184282,0.7,174.3833333,408.4,3391,120.3,1.417750678,-0.920265781,0.423110007,0.011185395,37.35576172,12.8,823,49.3,-115,36.56608036,12.77,223.4,39.09,738,1.49646955,1046.3,83.21,0.24,1.03,3931,-304,1859,0.372879544,2806,5.52,701,4.61,4481.818182,48.2,-485,133.97,78.65,-0.926720712,0.003764508,3.018918919,0.84,57.7,5.011015326,6197,0.079894624,173.4774934,0.003680513,0.20754717,0.215269554,445.0481391,393.74,137.7,24.12
2020-06-01 00:00:00,-1647,530.6,0.14940048,0.71,178.4666667,659.5,3184,94.4,2.567865707,-0.166666667,0.393724318,-0.005085823,39.96448459,13.51,837.9,62.3,-119,38.0003067,13.09,232.9,38.95,417,1.284388866,1070.8,116.96,0.2,1.17,4043,-263,2343,0.320887024,3337,5.81,696,3.81,4450,40.8,-533,144.66,78.25,-0.173535792,0.004757178,2.708139535,0.052536232,62.3,5.354,6521,0.081765425,163.1557708,0.003115455,0.05546875,0.069834552,517.6790006,460.47,154.75,31.34
2020-09-01 00:00:00,-1246,562.6,0.071149897,0.68,192,809.2,3738,-15.7,1.18275154,-0.7,0.395486111,-0.001277955,37.76803196,13.37,900.3,28.6,-130,34.6917586,11.24,251.7,34.15,974,1.397905759,1152,91.66,0.06,1.4,5032,-250,2952,0.290395765,3967,6.02,1706,1.12,922.5806452,12.9,-583,154.05,78.15,-0.706036745,0.002183873,4.935294118,0.036144578,69.3,5.47788873,7705,0.087965791,188.2528994,0.000985034,-0.010362694,-0.054960114,522.5359701,542.995,177.82,35.39
2020-12-01 00:00:00,-1452,669,0.020089787,0.61,208.3833333,1354.1,4193,281.5,1.40325477,0.333333333,0.433815884,-0.006014075,34.14970793,8.87,971.2,13,-141,32.51864601,1.61,279.1,4.78,891,1.479534227,1250.3,140.69,0.08,1.21,5881,-234,3092,0.276492702,4522,1.43,1640,1.33,722.2222222,16.6,-632,110.96,77.68,0.1875,0.00099267,8.208823529,-0.762458472,17.9,-8.258256275,8715,0.0954719,207.5158786,0.001267563,-0.33657442,-0.095803881,501.9723665,487.57,197.92,38.03
2021-03-01 00:00:00,-1845,650,0.140783745,0.64,226.6666667,620,4298,206,1.973875181,4.125,0.385294118,0.004248198,39.20486727,14.93,1061,97,-154,34.42530039,2.03,299,5.74,689,1.415212381,1360,107,0.41,1.23,5785,-152,3456,0.300618921,4524,7.13,1611,6.03,2425,82,-657,203,78.01,3.533834586,0.005746105,2.743119266,3.986013986,97,3.84180791,8822,0.080563948,190.4840303,0.004857532,0.683201804,0.148029358,605.6214746,509.71,160.36,32.51
2021-06-01 00:00:00,-1402,696,0.038374718,0.66,234.8333333,829,4962,-1,1.060195636,-0.292682927,0.397444996,-0.017433662,39.31670399,11.78,1080,51,-170,35.64819854,2.17,329,5.93,1329,1.515114504,1409,91,0.29,1.08,5912,-93,2984,0.333491124,4225,3.62,1582,4.19,2550,59,-714,166,76.65,-0.305140962,0.003021148,3.357142857,-0.492286115,51,6.290178571,9187,0.083466619,180.519084,0.003495054,-0.210984595,0.002852623,650.9717167,651.03,169.5,33.24
2021-09-01 00:00:00,-1454,730,0.049234864,0.64,252,1055,5190,-243,1.005988024,0.068965517,0.389550265,0.002609263,31.14014225,13.16,1162,74,-189,37.28634733,2.57,350,7.11,1503,1.468590832,1512,94,0.31,1.13,5944,-30,3031,0.35261194,4288,4.89,1577,4.17,3700,63,-766,199,76.85,-0.00477327,0.004383627,5.46875,0.350828729,74,6.904109589,9478,0.089568154,168.1946802,0.003732006,0.117147708,-0.207966612,554.1251899,645.465,180.24,35.04
2021-12-01 00:00:00,-1728,813,0.025868441,0.6,269,1792,5578,58,1.192904656,-0.580645161,0.413258984,-0.000260247,25.4696576,9.98,1240,35,-211,34.21929987,2.36,374,7.04,1353,1.509607578,1614,107,0.13,1.05,7103,-4,3304,0.309195402,5220,2.17,1576,1.61,1750,26,-825,161,76.83,-0.613908873,0.002073337,4.202247191,-0.556237219,35,-4.024937656,10798,0.09561045,192.232747,0.001540193,-0.241641337,-0.182095657,472.2046405,562.31,174.82,35.07
2022-03-01 00:00:00,-2442,852,0.095499451,0.63,287,770,5551,266,1.890230516,1.846153846,0.403019744,0.022647403,23.13410408,10.92,1353,87,-231,36.3595015,2.25,369,6.34,911,1.388791594,1722,93,0.37,1.12,6996,88,4014,0.316427784,5442,5.05,1572,4.36,0,75,-875,188,78.57,1.708074534,0.002073337,2.222891566,1.32718894,87,3.06405694,10993,0.09561045,175.0312735,0.001540193,0.094188377,-0.091699447,462.104018,475.52,152.57,27.94
